pk,model,upc14,upc12,brand,name,Price
74,shoppingcart.Product,7.32E+11,7.32E+11,Firm Grip,Firm Grip Disposable Nitrile Gloves - 10 Gloves,$21.00 
75,shoppingcart.Product,37000835080,37000835080,Downy,Downy Ultra Infusions Orchid Allure Fabric Softener - 48 Loads,$12.00 
76,shoppingcart.Product,8.88E+11,8.88E+11,Hostess,Hostess Mini Muffins Chocolate Chip - 20 Ct,$25.00 
77,shoppingcart.Product,15000005771,15000005771,Gerber,Gerber Graduates For Toddlers Lil' Meals Pasta Shells & Cheese,$15.00 
78,shoppingcart.Product,97421490015,97421490015,Powerbar,Powerbar Protein Plus High Protein Bar Vanilla Yogurt,$30.00 
79,shoppingcart.Product,8.79E+11,8.79E+11,Every Man Jack,Every Man Jack Shave Cream,$8.00 
80,shoppingcart.Product,6.88E+11,6.88E+11,Ahold,Ahold Premium Paper Towels Giant Rolls - 8 Ct,$16.00 
81,shoppingcart.Product,6.38E+11,6.38E+11,Piacci,Piacci Parmesan Nuggets,$12.00 
82,shoppingcart.Product,22796910028,22796910028,Organix,Organix Smoothing Shea Butter Conditioner,$17.00 
83,shoppingcart.Product,11017405269,11017405269,Dr Scholl's,Dr. Scholl's For Her Rub Relief Strips,$28.00 
84,shoppingcart.Product,22451017505,22451017505,Guida's,Guida's Whole Milk, $-   
85,shoppingcart.Product,11152817606,11152817606,Hime,Hime Wasabi Powdered Sushi,$10.00 
86,shoppingcart.Product,2.16E+11,2.16E+11,Usda Meat,Boneless Pork Shoulder Roast,$3.00 
87,shoppingcart.Product,20822530000,20822530000,Usda Meat,Boneless Pork Shoulder Roast,$30.00 
88,shoppingcart.Product,6.88E+11,6.88E+11,Simply Enjoy,Ahold Simply Enjoy Gourmet Spread Smoky Fig & Roasted Garlic,$6.00 
89,shoppingcart.Product,86279036858,86279036858,Cuisinart,Cuisinart Citrus Juicer Pulp Control, $-   
90,shoppingcart.Product,21000611614,21000611614,Velveeta,Velveeta Cheese,$13.00 
91,shoppingcart.Product,3.11E+11,3.11E+11,Lotrimin,Lotrimin Ultra Antifungal Athlete's Foot Cream,$18.00 
92,shoppingcart.Product,47325077355,47325077355,Pasta Lensi,Pasta Lensi Gigli #253,$24.00 
93,shoppingcart.Product,1.82E+11,1.82E+11,Cherrybrook Kitchen,Cherrybrook Kitchen D.w. Sugar Cookie Mix,$25.00 
94,shoppingcart.Product,90800000751,90800000751,Herb Pharm,Herb Pharm Black Elderberry Herbal Glycerite Extract,$26.00 
95,shoppingcart.Product,41167023044,41167023044,Gold Bond,Gold Bond Medicated Cornstarch Plus Baby Powder,$4.00 
96,shoppingcart.Product,16000164901,16000164901,Chex Mix,General Mills Sweet 'n Salty Honey Nut Chex Mix,$16.00 
97,shoppingcart.Product,6.99E+11,6.99E+11,Udi's,Udi's Soft N' Chewy Granola Bars Chocolate Chip - 5 Ct,$22.00 
98,shoppingcart.Product,1.62E+11,1.62E+11,Usda Meat,Smoked Pork Hocks - 4 Ct,$18.00 
99,shoppingcart.Product,8.57E+11,8.57E+11,Kelapo,Kelapo Extra Virgin Coconut Oil Baking Sticks,$16.00 
100,shoppingcart.Product,41443902643,41443902643,Margaret Holmes,Margaret Holmes Peanut Patch Green Boiled Peanuts Hot & Spicy,$3.00 
101,shoppingcart.Product,21000023233,21000023233,Kraft,Kraft Velveeta Shells & Cheese 2% Milk,$17.00 
102,shoppingcart.Product,46135116742,46135116742,Sylvania,Sylvania Daylight 75 Watt Indoor Light Bulb,$6.00 
103,shoppingcart.Product,47834063047,47834063047,Sushi Chef,Sushi Chef Wakame Soup Mix Traditional Japanese Style,$6.00 
104,shoppingcart.Product,51000143709,51000143709,Campbell's,Campbell's Homestyle Soup Italian-style Wedding,$9.00 
105,shoppingcart.Product,25537999054,25537999054,Sapore Sensuale,Sapore Sensuale Cake Toasted Almond,$21.00 
106,shoppingcart.Product,41457272565,41457272565,Goody,Goody Ouchless No Metal Elastics - 29 Ct,$25.00 
107,shoppingcart.Product,6.88E+11,6.88E+11,Ahold,Ahold Cooked Shrimp Large Tail-on,$17.00 
108,shoppingcart.Product,41520893307,41520893307,Smart Living,"Smart Living 10.5"" X 8"" 3 Subject Notebook College Ruled",$22.00 
109,shoppingcart.Product,78300098362,78300098362,Playtex,Playtex Plastic Tampons Gentle Glide 360 Multi-pack Regular/super Fresh Scent - 18 Ct,$10.00 
110,shoppingcart.Product,34000003662,34000003662,Hershey's,Hershey's Caramel Syrup,$2.00 
111,shoppingcart.Product,19800702328,19800702328,Windex,Windex Original Glass & Surface Wipes - 28 Pk,$16.00 
112,shoppingcart.Product,75609190360,75609190360,Olay Total Effects,Olay Total Effects 7-in-1 Tone Correcting Eye Treatment 0.5 Fl Oz,$10.00 
113,shoppingcart.Product,8.17E+11,8.17E+11,Alberto Vo5,Alberto Vo5 Normal Balancing Shampoo,$8.00 
114,shoppingcart.Product,7.17E+11,7.17E+11,Milani,Milani Total Lash Cover Mascara 105 Black,$6.00 
115,shoppingcart.Product,6.09E+11,6.09E+11,Sylvia's Restaurant,Sylvia's Restaurant Specially-seasoned Field Peas With Snaps,$3.00 
116,shoppingcart.Product,44000030384,44000030384,Wheat Thins,Nabisco Wheat Thins Snacks,$10.00 
117,shoppingcart.Product,41520019677,41520019677,Careone,Careone Whitening Toothbrush Soft,$5.00 
118,shoppingcart.Product,3.05E+11,3.05E+11,Vaseline,Vaseline Spray & Go Moisturizer Total Moisture,$8.00 
119,shoppingcart.Product,31604027551,31604027551,Nature Made,Nature Made Fish Oil 1200mg Omega-3 360mg Liquid Softgels Lemon Flavor - 60 Ct,$2.00 
120,shoppingcart.Product,8.54E+11,8.54E+11,Bellucci,Belluci Extra Virgin Olive Oil 100% Italian,$14.00 
121,shoppingcart.Product,28400033329,28400033329,Ruffles,Ruffles Sour Cream & Onion Potato Chips,$15.00 
122,shoppingcart.Product,20735420966,20735420966,Turkey Hill,Turkey Hill Premium Ice Cream Party Cake,$6.00 
123,shoppingcart.Product,3.08E+11,3.08E+11,Tums,Tums Freshers Antacid Spearmint - 2 Pk,$13.00 
124,shoppingcart.Product,72700104272,72700104272,Manischewitz,Manishchewitz Gluten Free Wide Egg Noodles,$26.00 
125,shoppingcart.Product,47400302877,47400302877,Gillette Fusion,Gillette Fusion Proglide Cartridges - 8 Ct,$26.00 
126,shoppingcart.Product,2.97E+11,2.97E+11,Bakery,Bakery Pistachio Muffin - 4 Ct,$25.00 
127,shoppingcart.Product,41716842942,41716842942,Frigo,Frigo Cheese Heads 100% Natural String Cheese Light - 12 Ct,$10.00 
128,shoppingcart.Product,70074586137,70074586137,Similac Advance,Similac Advance Infant Formula With Iron Milk-based/ready To Feed - 6 Ct,$12.00 
129,shoppingcart.Product,15300430617,15300430617,Rice-a-roni,Rice A Roni Chicken Flavor Lower Sodium Rice,$14.00 
130,shoppingcart.Product,6.16E+11,6.16E+11,Oberweis,Oberweis Dairy Raspberry Lemonade,$15.00 
131,shoppingcart.Product,6.88E+11,6.88E+11,Companion,Companion Dog Biscuits Senior,$27.00 
132,shoppingcart.Product,6.42E+11,6.42E+11,Coco,Coco Lite Multigrain Pop Cakes Whole Wheat,$4.00 
133,shoppingcart.Product,50000301522,50000301522,Coffee-mate,Nestle The Original Coffee Mate,$8.00 
134,shoppingcart.Product,7.16E+11,7.16E+11,Sweet Leaf,Sweetleaf Natural Stevia Sweetener Packets - 70 Ct,$21.00 
135,shoppingcart.Product,93709300403,93709300403,Pamela's,Pamela's Chocolate Cake Mix,$14.00 
136,shoppingcart.Product,98016322834,98016322834,Designer Greetings,Designer Gift Bag Glitterwrap,$21.00 
137,shoppingcart.Product,6.88E+11,6.88E+11,Ahold,Ahold 5 Cheese Pizza Ready To Bake,$23.00 
138,shoppingcart.Product,6.10E+11,6.10E+11,Deerfields Gluten Free,Rice Bran Gluten Free Mini Baguette,$21.00 
139,shoppingcart.Product,28400162234,28400162234,Cracker Jack,Cracker Jack Popcorn Butter Toffee,$20.00 
140,shoppingcart.Product,74711545679,74711545679,Swingline,Swingline Standard Desk Stapler Bonus Pack!,$23.00 
141,shoppingcart.Product,2.08E+11,2.08E+11,Usda Meat,Pork Chops Bone-in Center Cut,$19.00 
142,shoppingcart.Product,28881400000,28881400000,Usda Meat,Pork Chops Bone-in Center Cut,$15.00 
143,shoppingcart.Product,27000419021,27000419021,Snack Pack,Snack Pack Tapioca Pudding - 4 Pk,$9.00 
144,shoppingcart.Product,41520880710,41520880710,Pure Power,Pure Power Easy Grip Scrub Brush,$2.00 
145,shoppingcart.Product,7.44E+11,7.44E+11,Cocktail,Cocktail Rx Frozen Cocktails Blue Hawaiian,$13.00 
146,shoppingcart.Product,48419063957,48419063957,Anagram,"Anagram Foil Balloon 18"" Happy Birthday Smiles",$2.00 
147,shoppingcart.Product,48481009952,48481009952,Shelton's,Shelton's Turkey Burgers - 3 Ct,$19.00 
148,shoppingcart.Product,72890000309,72890000309,Buckler,Buckler Non-alcoholic Malt Beverage - 6 Ct,$4.00 
149,shoppingcart.Product,70796300035,70796300035,Cento,Cento All Purpose Crushed Tomatoes,$23.00 
150,shoppingcart.Product,41520874061,41520874061,Careone,Careone Vitamin B12 500mcg Tablets - 100 Ct,$12.00 
